name,url
North Florida,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/north-florida/
North Texas,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/north-texas/
Northeastern,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/northeastern/
Northern Arizona,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/northern-arizona/
Northern Colorado,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/northern-colorado/
Northern Illinois,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/northern-illinois/
Northern Iowa,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/northern-iowa/
Northern Kentucky,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/northern-kentucky/
Northwestern,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/northwestern/
Northwestern State,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/northwestern-state/
Notre Dame,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/notre-dame/
Oakland,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/oakland/
Ohio,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/ohio/
Ohio State,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/ohio-state/
Oklahoma,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/oklahoma/
Oklahoma State,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/oklahoma-state/
Old Dominion,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/old-dominion/
Oral Roberts,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/oral-roberts/
Oregon,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/oregon/
Oregon State,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/oregon-state/
Pacific,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/pacific/
Penn,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/penn/
